company_id,symbol,company_name,period,thesis_id,bms,state,evidence_count,earnings,economics,execution,balance_sheet,management_delivery
287,M&M,Mahindra & Mahindra Ltd.,Q2 FY26,287,0.1875,mixed,4,0.75,0.0,0.0,0.0,0.0
288,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Q2 FY26,288,0.4025,improving,3,0.81,0.8,0.0,0.0,0.0
289,MANAPPURAM,Manappuram Finance Ltd.,Q2 FY26,289,-0.4175,weakening,3,-0.85,-0.82,0.0,0.0,0.0
290,MANKIND,Mankind Pharma Ltd.,Q2 FY26,290,0.0575,mixed,3,0.23,0.0,0.0,0.0,0.0
291,MAPMYINDIA,C.E. Info Systems Ltd.,Q2 FY26,291,-0.005,mixed,4,0.0,-0.02,0.0,0.0,0.0
292,MARICO,Marico Ltd.,Q2 FY26,292,-0.0025,mixed,4,0.77,-0.78,0.0,0.0,0.0
293,MARUTI,Maruti Suzuki India Ltd.,Q2 FY26,293,0.19,mixed,2,0.76,0.0,0.0,0.0,0.0
294,MAXHEALTH,Max Healthcare Institute Ltd.,Q2 FY26,294,0.195,mixed,4,0.78,0.0,0.0,0.0,0.0
295,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Q2 FY26,295,-0.0125,mixed,4,-0.03,-0.02,0.0,0.0,0.0
296,MCX,Multi Commodity Exchange of India Ltd.,Q2 FY26,296,0.38,mixed,6,0.77,0.75,0.0,0.0,0.0
297,MEDANTA,Global Health Ltd.,Q2 FY26,297,0.19,mixed,3,0.76,0.0,0.0,0.0,0.0
298,MEESHO,Meesho Ltd.,Q2 FY26,298,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
299,MFSL,Max Financial Services Ltd.,Q2 FY26,299,-0.395,mixed,4,-0.82,-0.76,0.0,0.0,0.0
300,MGL,Mahanagar Gas Ltd.,Q2 FY26,300,-0.23,mixed,3,-0.03,-0.89,0.0,0.0,0.0
301,MINDACORP,Minda Corporation Ltd.,Q2 FY26,301,0.195,mixed,2,0.78,0.0,0.0,0.0,0.0
302,MMTC,MMTC Ltd.,Q2 FY26,302,0.075,mixed,5,0.28,0.02,0.0,0.0,0.0
303,MOTHERSON,Samvardhana Motherson International Ltd.,Q2 FY26,303,-0.065,mixed,3,-0.26,0.0,0.0,0.0,0.0
304,MOTILALOFS,Motilal Oswal Financial Services Ltd.,Q2 FY26,304,-0.0775,mixed,5,-0.28,-0.03,0.0,0.0,0.0
305,MPHASIS,MphasiS Ltd.,Q2 FY26,305,0.1875,mixed,2,0.75,0.0,0.0,0.0,0.0
306,MRF,MRF Ltd.,Q2 FY26,306,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
307,MRPL,Mangalore Refinery & Petrochemicals Ltd.,Q2 FY26,307,0.1425,mixed,4,-0.26,0.83,0.0,0.0,0.0
308,MSUMI,Motherson Sumi Wiring India Ltd.,Q2 FY26,308,0.1925,mixed,1,0.77,0.0,0.0,0.0,0.0
309,MUTHOOTFIN,Muthoot Finance Ltd.,Q2 FY26,309,0.4,improving,6,0.8,0.8,0.0,0.0,0.0
310,NAM-INDIA,Nippon Life India Asset Management Ltd.,Q2 FY26,310,0.1825,mixed,2,0.73,0.0,0.0,0.0,0.0
311,NATCOPHARM,NATCO Pharma Ltd.,Q2 FY26,311,-0.1925,mixed,2,-0.77,0.0,0.0,0.0,0.0
312,NATIONALUM,National Aluminium Co. Ltd.,Q2 FY26,312,0.395,mixed,5,0.78,0.8,0.0,0.0,0.0
313,NAUKRI,Info Edge (India) Ltd.,Q2 FY26,313,0.42,improving,4,0.79,0.89,0.0,0.0,0.0
314,NAVA,Nava Ltd.,Q2 FY26,314,-0.4325,weakening,2,-0.9,-0.83,0.0,0.0,0.0
315,NAVINFLUOR,Navin Fluorine International Ltd.,Q2 FY26,315,0.4025,improving,6,0.81,0.8,0.0,0.0,0.0
316,NBCC,NBCC (India) Ltd.,Q2 FY26,316,0.1925,mixed,3,0.77,0.0,0.0,0.0,0.0
317,NCC,NCC Ltd.,Q2 FY26,317,-0.3975,mixed,3,-0.84,-0.75,0.0,0.0,0.0
318,NESTLEIND,Nestle India Ltd.,Q2 FY26,318,0.0,mixed,2,0.0,0.0,0.0,0.0,0.0
